entrezID,acronym,isAstrocyteEnriched,isOligodendrocyteEnriched,isNeuronEnriched,isGoodGeneBrain,isPersistent
15399,Hoxa2,0,0,0,1,0
15400,Hoxa3,0,0,0,1,0
15401,Hoxa4,0,0,0,1,0
15403,Hoxa6,0,0,0,1,1
15405,Hoxa9,0,0,0,1,1
15407,Hoxb1,0,0,0,1,1
15408,Hoxb13,0,0,0,1,1
15410,Hoxb3,0,0,0,1,1
15412,Hoxb4,0,0,0,1,1
15413,Hoxb5,0,0,0,1,1
15414,Hoxb6,0,0,0,1,1
15415,Hoxb7,0,0,0,1,1
15416,Hoxb8,0,0,0,1,1
15417,Hoxb9,0,0,0,1,1
15422,Hoxc13,0,0,0,1,1
15423,Hoxc4,0,0,0,1,1
15424,Hoxc5,0,0,0,1,1
15425,Hoxc6,0,0,0,1,1
15426,Hoxc8,0,0,0,1,1
15427,Hoxc9,0,0,0,1,1
15429,Hoxd1,0,0,0,1,0
15430,Hoxd10,0,0,0,1,1
15433,Hoxd13,0,0,0,1,1
15434,Hoxd3,0,0,0,1,0
15436,Hoxd4,0,0,0,1,1
15437,Hoxd8,0,0,0,1,1
15460,Hr,0,1,0,1,1
15465,Hrh1,1,0,0,1,1
15483,Hsd11b1,1,0,0,1,1
15499,Hsf1,0,0,0,1,0
15510,Hspd1,0,0,0,1,1
15550,Htr1a,0,0,0,1,1
15551,Htr1b,0,0,1,1,1
15552,Htr1d,0,0,0,1,1
15557,Htr1f,0,0,0,1,1
15559,Htr2b,0,0,0,1,1
15560,Htr2c,0,0,1,1,1
15561,Htr3a,0,0,1,1,1
15562,Htr4,0,0,0,1,1
15563,Htr5a,0,0,1,1,1
15564,Htr5b,0,0,0,1,1
15565,Htr6,0,0,0,1,1
15566,Htr7,0,0,1,1,1
15567,Slc6a4,0,0,0,1,1
15896,Icam2,0,0,0,1,1
15898,Icam5,0,0,1,1,1
15901,Id1,1,0,0,1,1
15902,Id2,1,0,0,1,1
15903,Id3,1,0,0,1,1
15904,Id4,1,0,0,1,1
15959,Ifit3,0,0,0,1,1
16000,Igf1,0,0,1,1,1
16001,Igf1r,0,0,0,1,1
16002,Igf2,0,0,0,1,1
16006,Igfbp1,0,0,0,1,1
16007,Cyr61,1,0,0,1,1
16008,Igfbp2,1,0,0,1,1
16009,Igfbp3,0,0,0,1,1
16010,Igfbp4,0,0,0,1,0
16011,Igfbp5,1,0,0,1,1
16012,Igfbp6,0,0,0,1,1
16164,Il13ra1,1,0,0,1,1
16170,Il16,0,0,0,1,1
16177,Il1r1,0,0,0,1,1
16195,Il6st,1,0,0,1,1
16322,Inha,0,0,1,1,1
16323,Inhba,0,0,0,1,1
16324,Inhbb,1,0,0,1,1
16325,Inhbc,0,0,0,1,1
16326,Inhbe,0,0,0,1,1
16329,Inpp1,0,0,1,1,1
16337,Insr,1,0,0,1,1
16348,Invs,1,0,0,1,1
16362,Irf1,1,0,0,1,1
16363,Irf2,0,0,0,1,0
16370,Irs4,0,0,1,1,1
16371,Irx1,0,1,0,1,1
16372,Irx2,0,0,0,1,1
16373,Irx3,0,0,0,1,1
16400,Itga3,0,0,1,1,1
16401,Itga4,0,0,0,1,1
16409,Itgam,0,0,0,1,1
16410,Itgav,1,0,0,1,1
16412,Itgb1,0,1,0,1,1
16416,Itgb3,0,0,0,1,1
16423,Cd47,0,1,0,1,1
